search_term	db_term	search_field
Ebf1 fl/-; Cd23-Cre	Ebf1 fl/-; Cd23-Cre	genotype
Eilers	Eilers	last_author
Elkon	Elkon	first_author
Elkon2015myc	Elkon2015myc	paper_name
Elrod	Elrod	first_author
Elrod2019integrator	Elrod2019integrator	paper_name
Emmett	Emmett	first_author
Emmett2017histone	Emmett2017histone	paper_name
Engreitz	Engreitz	first_author
Engreitz2016local	Engreitz2016local	paper_name
Erhard	Erhard	first_author
Erhard2015nascent	Erhard2015nascent	paper_name
Escoubet-Lozach	Escoubet-Lozach	first_author
Escoubet-lozach2011mechanisms	Escoubet-lozach2011mechanisms	paper_name
Esousa2019kinetics	Esousa2019kinetics	paper_name
Espinosa	Espinosa	last_author
Esr1 (stable)	Esr1 (stable)	genotype
Esr1 L540Q (stable)	Esr1 L540Q (stable)	genotype
Estaras	Estaras	first_author
Estaras2015smad	Estaras2015smad	paper_name
Esteban	Esteban	last_author
EtOH	ethanol	treatment
Etchegaray	Etchegaray	first_author
Etchegaray2019histone	Etchegaray2019histone	paper_name
Evans	Evans	last_author
FCCP	FCCP	treatment
FY10092 (dis2-11)	FY10092 (dis2-11)	strain
Fan	Fan	first_author
Fan2020drb	Fan2020drb	paper_name
Fang	Fang	first_author
Fang2014circadian	Fang2014circadian	paper_name
Fant	Fant	first_author
Fant2020tfiid	Fant2020tfiid	paper_name
Fei	Fei	first_author
Fei2018ndf	Fei2018ndf	paper_name
Feschotte	Feschotte	last_author
Fields	Fields	last_author
Fisher	Fisher	last_author
Flavell	Flavell	last_author
Fleischer	Fleischer	first_author
Fleischer2017dna	Fleischer2017dna	paper_name
Flynn	Flynn	first_author
Flynn20167skbaf	Flynn20167skbaf	paper_name
Fong	Fong	first_author
Fong2014pre	Fong2014pre	paper_name
Fong2017rna	Fong2017rna	paper_name
Fonseca	Fonseca	first_author
Fonseca2019diverse	Fonseca2019diverse	paper_name
Franco	Franco	first_author
Franco2015tnfalpha	Franco2015tnfalpha	paper_name
Franco2018enhancer	Franco2018enhancer	paper_name
Frg1 mut; Frg2 mut	Frg1 mut; Frg2 mut	genotype
Fu	Fu	last_author
Fucci-EGFP+ (stable)	Fucci-EGFP+ (stable)	genotype
Fuda	Fuda	first_author
Fuda2012fcp1	Fuda2012fcp1	paper_name
Fuda2015gaga	Fuda2015gaga	paper_name
G-401	G401	cell_type
G-CSF	G-CSF	treatment
G. gallus	G. gallus	spikein
G401	G401	cell_type
